date_only,instrument,close,daily_return,volatility_7d
2009-01-02,sp500,931.8,,
2009-01-05,sp500,927.45,-0.4668,
2009-01-06,sp500,934.7,0.7817,
2009-01-07,sp500,906.65,-3.001,
2009-01-08,sp500,909.73,0.3397,
2009-01-09,sp500,890.35,-2.1303,
2009-01-12,sp500,870.26,-2.2564,
2009-01-13,sp500,871.79,0.1758,1.4982
2009-01-14,sp500,842.62,-3.346,1.7257
2009-01-15,sp500,843.74,0.1329,1.6054
2009-01-16,sp500,850.12,0.7562,1.6248
2009-01-20,sp500,805.22,-5.2816,2.1963
2009-01-21,sp500,840.24,4.3491,3.1476
2009-01-22,sp500,827.5,-1.5162,3.1019
2009-01-23,sp500,831.95,0.5378,3.1214
2009-01-26,sp500,836.57,0.5553,2.8944
2009-01-27,sp500,845.71,1.0926,2.928
2009-01-28,sp500,874.09,3.3558,3.1832
2009-01-29,sp500,845.14,-3.312,2.6323
2009-01-30,sp500,825.88,-2.2789,2.279
2009-02-02,sp500,825.44,-0.0533,2.2067
2009-02-03,sp500,838.51,1.5834,2.2843
2009-02-04,sp500,832.23,-0.749,2.2975
2009-02-05,sp500,845.85,1.6366,2.3512
2009-02-06,sp500,868.6,2.6896,2.2028
2009-02-09,sp500,869.89,0.1485,1.6799
2009-02-10,sp500,827.16,-4.9121,2.4872
2009-02-11,sp500,833.74,0.7955,2.502
2009-02-12,sp500,835.19,0.1739,2.4249
2009-02-13,sp500,826.84,-0.9998,2.4391
2009-02-17,sp500,789.17,-4.5559,2.8127
2009-02-18,sp500,788.42,-0.095,2.3747
2009-02-19,sp500,778.94,-1.2024,2.2859
2009-02-20,sp500,770.05,-1.1413,1.7381
2009-02-23,sp500,743.33,-3.4699,1.7499
2009-02-24,sp500,773.14,4.0103,2.7294
2009-02-25,sp500,764.9,-1.0658,2.7293
2009-02-26,sp500,752.83,-1.578,2.2934
2009-02-27,sp500,735.09,-2.3564,2.3607
2009-03-02,sp500,700.82,-4.662,2.7475
2009-03-03,sp500,696.33,-0.6407,2.7638
2009-03-04,sp500,712.87,2.3753,2.9114
2009-03-05,sp500,682.55,-4.2532,2.3756
2009-03-06,sp500,683.38,0.1216,2.4722
